booking_id,listing_id,host_id,guest_name,guest_count,checkin_date,checkout_date,nights_booked,booking_status,booking_amount,booking_date,cleaning_fee,service_fee,created_at
ddd4932e-307f-4e1a-99ac-90bba99b74fd,200000,100000,Jared Wright,1,2024-12-03,2024-12-10,7,completed,3003,2024-01-29,72.9,300.3,2024-11-10
0c0ec607-3f97-46a8-9591-ab72859078d5,200000,100000,Kyle Harrison,1,2026-05-15,2026-05-19,4,completed,1716,2023-07-25,67.4,171.6,2026-04-29
6dfa2e78-fcad-4e08-b259-0c6777d8422d,200000,100000,Dana Wolfe,1,2025-12-02,2025-12-14,12,completed,5148,2025-05-20,29.16,514.8,2025-11-27
fcc79a74-43b9-44bb-b348-71f4bc732990,200000,100000,Jasmine Reed,1,2025-12-22,2025-12-25,3,completed,1287,2025-01-29,22.99,128.7,2025-12-20
4732d253-f0af-451b-b7c5-5a718826eb57,200001,100000,Nathaniel Blankenship Jr.,7,2024-07-02,2024-07-13,11,completed,4719,2023-09-25,65.44,471.9,2024-05-07
9df43977-4182-4817-ab0f-4808242c5627,200001,100000,Jacob Osborn,1,2025-03-14,2025-03-21,7,completed,3003,2024-06-23,75.68,300.3,2025-02-24
bf46224d-d85b-421d-af00-6369ce2e6085,200001,100000,Scott Newman,6,2024-10-17,2024-10-27,10,completed,4290,2024-09-25,50.22,429.0,2024-10-15
88364cb7-42cb-4d24-b516-c690abb22f6a,200001,100000,Sarah Werner,10,2025-08-03,2025-08-10,7,completed,3003,2025-01-04,27.82,300.3,2025-07-13
b4c4ef9f-cc1a-4c7a-8fec-63693cf9dfc8,200001,100000,Ann Moon,11,2024-07-24,2024-08-01,8,cancelled,3432,2023-08-28,36.47,343.2,2024-07-17
14a397d8-0e3b-4dd1-9d7e-e2c290dcb55a,200001,100000,Amber Miller,11,2025-10-08,2025-10-16,8,completed,3432,2024-07-18,47.16,343.2,2025-09-05
da52de23-4646-411e-9c65-97ac4971e9d9,200001,100000,Charles Graham,6,2025-06-03,2025-06-13,10,confirmed,4290,2025-04-24,97.55,429.0,2025-05-14
69195ae2-e61a-40d1-9bfe-5a92cc4e2a45,200001,100000,Jason Jackson,11,2026-05-29,2026-06-02,4,cancelled,1716,2023-09-29,87.79,171.6,2026-04-27
eef522f9-42e3-4b35-bf0f-cf1dd8c2cdae,200001,100000,Lisa Armstrong,9,2024-12-14,2024-12-27,13,cancelled,5577,2023-11-01,37.13,557.7,2024-12-09
d130d749-4c08-4255-8b61-496c8ea343fe,200001,100000,Teresa Jacobson,5,2025-01-26,2025-01-31,5,cancelled,2145,2023-12-18,99.7,214.5,2025-01-22
bcbabd17-20cf-47e1-9166-a6f51fafe7cf,200001,100000,Christie Marquez,4,2024-06-30,2024-07-07,7,completed,3003,2023-07-14,69.97,300.3,2024-05-09
773531d7-8d07-4596-a894-bc846d95f1e5,200001,100000,Robert White,10,2026-02-07,2026-02-09,2,cancelled,858,2023-12-27,27.58,85.8,2025-12-23
e188af80-291f-4cde-8213-fb0279204f42,200002,100000,Philip Cummings,1,2026-02-12,2026-02-18,6,completed,582,2024-02-10,65.31,58.2,2026-01-25
7a693336-bc51-4309-9bdd-b9d8cc4b0f9d,200002,100000,Danielle Smith,1,2025-08-05,2025-08-14,9,completed,873,2024-03-10,36.78,87.3,2025-07-05
48adb584-b26b-441e-88f9-1416c0a00dc8,200002,100000,Robert Mason,1,2026-02-02,2026-02-15,13,completed,1261,2023-09-14,60.37,126.1,2026-01-28
807aab3d-e759-4c12-98a2-9e610829ba91,200002,100000,Anthony Moore,1,2025-04-18,2025-04-23,5,confirmed,485,2023-09-28,36.01,48.5,2025-03-21
